属性グループ名,数
本社・支社,3
作業所,3
課支社・SC・室・G,3
部支店長／ライン長／非ライン長,3
新卒／中途・その他,3
小学生以下の子供の有無,3
2nd組織,3
原籍会社,3
就業先,3
入社月,3
G・課（一部対象者）,3
入社タイプ,3
部・ブロック,3
5th組織,3
級職,3
エリア・課,3
出身地,3
勤務会社,3
勤務エリア略称,3
新入社員,3
階層3,3
階層4,3
配偶者有無,3
資格等級名,3
所属プロジェクト,3
役職等,3
部門・部,3
課所・グループ,3
課等,3
組織階層4,3
グレード・等級,3
Years of Service,3
一段部,3
社員種別,3
ブロック／部／課,3
拠点・部署,3
部／関係会社,3
ライン／スタッフ,3
勤務体系,3
施設,3
部1,3
調査用勤続年数,3
採用職種,3
採用年（１年）,3
待遇,3
国籍(帰属意識の強い),3
人事評価,3
下位組織２,3
事業部／センター,3
組織の人数規模,3
入社年（10年単位）,3
1st組織,3
部局,3
管理職研修,3
社員資格,3
本部/室,3
全体,3
所属①,3
役職（KMBは下段）,3
G,3
MM職,3
担当顧客,3
勤務先,3
組織レイヤー５,3
組織レイヤー６,3
組織階層5,3
ジョブチャレンジ経験,3
出向元会社,3
メールアドレス登録,3
役割区分,3
就業区分,3
旧役職,3
籍,3
組織レイヤー1,3
室・センター,3
店舗等,3
部③,3
勤務種別,3
所属5,3
職名称,3
新卒区分,3
人財本部,3
室・部,3
Grp.,3
社員分類,3
前回比較用,3
異動有無,3
部署（本部）,3
本社・事業所,3
製品区分,3
担当業務,3
経験,3
部・Ｇ,3
ブランド毎,3
資格区分,3
事業部長（チームで働く力）,3
本社グループ,3
家族形態,3
マネジメント,3
所属企業,3
部門・セクション,3
ID,3
支所,3
部②,3
フラグ,3
営業所・課,3
入社後経過年数,3
属性24勤続年数２,3
勤続年数（1年刻み）,3
ライン長区分,3
格付,3
事業所区分,3
所属（本部）,3
勤続年数（10年刻み）,3
粟田テストグループ,3
原籍・職種,3
新役職,3
部門4,3
採用地,3
備考,3
リーダー候補,3
仕事内容,3
事務取扱・兼務,3
部署②,3
東京本社,3
所属部署（本部）,3
職位略称,3
ロケーション,3
年齢（年代）,3
年代別,3
業務内容,3
ブランド,3
国,3
役職・資格,3
在籍,3
PJT,3
所属分類,3
退職区分,3
職場,3
所属名5,3
本社・支社・事業部,3
現部署滞留,3
国内外,3
役職有無,3
担当店/グループ,3
分類,3
役割（地域別）,3
階層毎,3
採用年度,3
性別名,3
役職(詳細),3
グループ等,3
所属コード,3
役職層,3
駐在,3
営業区分,3
職種名称,3
時短勤務,3
就業エリア,3
比較用,3
本部・支店,3
雇用形態・入社形態,3
大部門,3
属性22年代２,3
属性23勤続年数１,3
属性25現資格滞留年数,3
組織_技術研究所グループ,3
単身赴任,3
店舗・部署,3
下位組織３,3
組織_出向先,3
年齢（1年刻み）,3
サービス・調理,3
部特性チャネル・保険金種目,3
課特性チャネル・保険金種目,3
東名阪／東名阪以外,3
人事考課,3
部門（組織階層1）,3
組織60：代表課,3
管理,3
属性,3
係・Ｇ・事務局,3
室名,3
